text,category,priority,source
your zone platform your zone platform hi have nominated for your zone award was his line manager his nomination with for approval but when try approve seems would get approved can receive award next cycle regards en,General,Low,it_service
oracle cannot submit a cannot submit hello having problems when trying submit for get various errors when try review submit have tried things but can please help with try perform submit thank you head analysis,General,High,it_service
wants to access security audit wants presentation auditor accept decline requests,General,Low,it_service
"i am sure you are aware that it is against the law to threaten suit without any intention of doing so. therefore, be advised that i am extremely serious about filing suit against your company. i have sent numerous letters requesting for you to investigate and remove all inaccurate information that is being reported on my personal credit profile, yet you continue to fail to do so. it is my understanding of the law that you must honor each and every request to investigate incorrect information and you seem to have ignored all of my previous requests. that is a crystal clear violation of the fair credit reporting act which provides a cause of action for an individual consumer as well as penalties and liabilities for both consumer reporting agencies and furnishers of information for non-compliance as violation of its provisions",Technical,Low,consumer_complaints
access for wednesday pm credentials hi please provide credentials also she needs rights thanks best regards application engineer,General,Low,it_service
ram upgrade wednesday july pm la school observant si ca comparative care mea total fie ca mea va developer,Technical,Low,it_service
"a system error that citibank had created for my accounts, please see my commentary below . a. citibank sent me my end of the year accounts statement, said bank statement disclosed my various accounts, the accumulated or aggregated interest for the year, and said accumulated or aggregated interest amounts were incorrect, and i relied upon them for other purposes, which made me incorrect for those purposes. b. citibank also provided the 1099-int form, and in that statement they declared figures completely different from that which the end of the year statement did, by as much as 430.00. basically what it comes down to is that citibank decided not to reflect the aggregate interest for all of my accounts on my bank statement, and then simply decided to recall those figures within the 1099-int form, which in turn really damaged my reporting that outward to other entities inquiring. as such, i personally believe that every bank statement from citibank should always be accurate to the very last line, otherwise what is a banking institution that you are entrusting your financial information and assets designed for? when i contacted citibank corporate and spoke to a management authority at a u.s. citibank corporate facility, said management authority stated the following 1. xxxx xxxx, you should not have relied upon your bank statement! 2. mr. xxxx, the fact that your bank statement differs from the 1099-int sometimes happens! all to say, the testimony above is simply unacceptable, especially since the individual at citibank corporate was subjective and arrogant about their assertions, and they the bank have done things like this on two separate occasions within the last several years.",Billing,High,consumer_complaints
access to pas tuesday october pm hi please provide thank,General,Low,it_service
new starter confluence bucharest friday pm re hi please find attached best regards pm hello please fill,General,Low,it_service
navy federal credit union extended a checking account to me with xxxx overdraft protection xxxx. in xxxx they also approved me for a xxxx credit card xxxx and loans. my checking account has been frozen 20 times end of xxxx to xxxx. during the holidays xxxx and xxxx i couldnt access my funds through atm. i was forced to borrowed money from friends and relatives until the nfcu staff came back from the holidays to access my funds. the collections department until xxxx would pay my bills using my overdraft monies that was a normal practice for 3 years. also charged xxxx fees in excess. i requested a line of checking account credit but the representative said theyd have to shut down my visa card for a week for me to get approved. ive been told my account can be approved for a second checking accounts. theyve held me on the xxxx overdraft since xxxx. i was also told that the fees were correct charges of excess in overdraft eating my paycheck every week. collections threatened me in letter form that my checking account would be closed because of my negative balance but refuse me.,Billing,High,consumer_complaints
storage space tuesday march pm storage hello started receiving yesterday mailbox almost reached limit please extend storage thanks,General,Low,it_service
attachment updates resulted from do not appear the notes section when we put update completed case can notes section we have updated ticket by attaching file manually have impersonated his attachments does appear like,Technical,Low,it_service
confluence access please ion access to confluence production tuesday confluence hello please grand information uploaded upcoming internship approved by kind regards engineer,Technical,Low,it_service
"on xxxx2019, i received two separate unauthorized transactions in the amounts of xxxx usd and xxxx usd originating from xxxx xxxx xxxx, xxxx despite the fact that i reside in xxxx, fl and made prior purchases in xxxx on the same day. i promptly contacted my bank of america fraud department as i didnt authorize the transactions and spoke with xxxx, in bank of americas xxxx office, who promptly closed my card and opened a claim and informed me that as soon as the charges posted, i would be extended provisional credit while the claim was being investigated on xxxxxxxx xxxx, i contacted bank of america once again by phone and advised that i had not yet received provisional credit as promised and was informed that despite the prior agreement, i would not be receiving credit until the investigation was finished, but that she would request a hardship credit. on xxxx2019, i called once more to follow up on my claim and was informed the matter was still under investigation and that i would be informed by xxxx2019 of either the outcome of the investigation or of provisional credit. on xxxx2019, i was sent an email that the dispute was rejected without a basis for that decision. upon contacting again on xxxx2019, i was informed by xxxx in bank of americas tennessee office that the claim was rejected solely on the basis that there were no other transactions attempted on the account after the initial fraudulent transactions. i, then, requested an appeal and was informed that bank of america would reconsider the claim, but theyd have 45 days to make a decision and wouldnt have to extend provisional credit in that time, which indicates that they may have denied my claim to circumvent the regulation e requirement to extend me provisional credit within 10 business days of the claim date",Billing,Low,consumer_complaints
new starter salvo new please provide package,General,Low,it_service
new powwow confluence space wednesday re confluence git repository hi please find forms attached fill forms want git repositories regards tuesday pm confluence git repository hello please advised order correctly process requests require completed attached forms each created proper tickets raised once receive completed forms encounter issues please hesitate looking forward hearing thanks kind regards analyst ext hub tuesday pm confluence git repository hi please help setup powwow add powwow confluence create git repositories android please make add other users under code please code thank regards,Technical,Medium,it_service
"in xxxxxxxx, i was granted a divorce from my ex. in the decree, it stated that she had 90 days to refinance the home in her name. it has been four years since then and now i have learned that there has nt been a payment made since xxxx of xxxx. this has greatly decreased my credit score in such a manner that i can not qualify for loans for autos or a home. the current mortgage lender handling the loan is xxxx xxxx xxxx.",General,Low,consumer_complaints
incorrect direct superior for expenses incorrect direct superior for hello direct superior when creating expense be sent for approval instead below please correct issue regards manager,General,Low,it_service
printer th floor sent monday october printer th floor hello could you please check printer th floor lights have any error printing thank you officer th th october,General,Medium,it_service
time card work flow approval issue for project code sent monday re card approvals hi same for timecard for thanks sent card approvals hi please below have approved for code but showing being approved seems be errors work flow card for with her approve times cards screen below show submitted but approved please can be resolved slow down invoicing process regards client manager mob,General,High,it_service
"i opened a marcus savings account on or around xxxx2020, i funded it with a xxxx xxxx xxxx account. over the next few months, i made over 70000.00 of deposits from a xxxx xxxx xxxx checking account these can all be provided upone request and some additional smaller deposits from my personal xxxx and another xxxx xxxx xxxx account. on xxxx2020, i attempted to wire transfer money for a down payment on a property to a third party, it was at this time they informed me that they do not do that, which is inconvenient, but fine, no problem there. i then set up a transfer of 71000.00 to my personal xxxx account for the down payment. the next morning, xxxx2020, i logged into my marcus account to check on the status of my money and my account is locked it is still locked a day later so i can not see my balances. i call in to find out that my wire never happened, and only then do they tell me that i can not fund my account from a business account, which most of my money has come from. the service representative agrees that they should have caught it, and it is their fault. i then decide to attempt to close my accounts i have this one and another and spend the next hour doing that. the representative gives me a confirmation number for each xxxx, xxxx and says it may take up to 3 days to get my money, which would put me in breach of contract for my real estate purchase, putting 5,000 earnest money at risk. the representative, who i did not get the name of, informs me that she has taken notes on the situation. later that day, i get a call from marcus and they immediately ask for my date of birth and social, which is insanely unsafe practice - i inform the representative of this and she claims to have written notes and that i can call them back. i call them back from the website phone number and get a different representative. he informs me there are no notes from any of my previous calls, he also tells me that he has no idea what my confirmation numbers are for. this means that the representatives are either lying to the customers, or the note system is broken, i advise him to elevate that. knowing this i get his name, it is xxxx. he tells me, that we need to close my second account, which i had already done earlier that day confirmation number xxxx - we go through that whole process again and he informs me he will put it in the notes and that there is no confirmation number. this whole time i am unable to login and see the amount or status of my money, and no one can tell me what is going on. this is more than 75000.00 that i can not access and these problems should be caught not when i need to use my money, but when i am doing something that isnt allowed like funding with a business account which really makes no sense as i could just move it into a personal account, then into the bank either way. it is 2 days in, and i really have no idea when i will have access to my 75000.00, this does not seem right. not only that, this has cost me over a half day of wages trying to get around the fact that i am going to be in breach of a contract and do not have a spare 75000.00 laying around. i do want to note that throughout this the representatives were extremely polite and apologized a lot for the incompetence of the bank.",Billing,High,consumer_complaints
new purchase wednesday february purchase dear purchased deep cool please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator,General,Low,it_service
"i was a victim of identity theifted and now a victim of wells fargo suspiouse activity,,, these disputes are a few of many xxxx was an online order that i never received to this day i have an atm 300.00 withdrawal no cash dispenced a 100.00 atm withdrawal on a mobile check deposit that came back uncleared and wouldnt allow me it was on hold and same day it came back is when they are saying i withdrawal this money at a xxxx balance to take money out. a 60.00 withdrawal cancelled transaction,,, a 40.00 no cash dispenced atm withdrawal,, as ive talked to claims,, cases were not even fully looked into,, and they had no reasoning,, then at branch i an informed of an everyday checking account i didnt open i had an easypay account and im this checking i didnt know i had three credit card i was clueless about,,, so with wells fargo reputation i became feared,, as o asked questions my account is facing closing yet i have xxxx owed thats being icored and now im in minis,,, all i want is my money back and then close these accounts out",Billing,Medium,consumer_complaints
"bank of america failed to investigate xxxx xxxx 130.00 xxxx xxxx 150.00 xxxx xxxx 150.00 bank of america failed to provide documentation for investigating my claims and failed to verify the transactions. bank of america reported a negative balance to 2 credit reporting agencies and indicated account abuse without providing documentation to substantiate account abuse or negative balance. bank of america failed to provide a breakdown to substantiate their claim of a negative account balance. bank of america failed to provide policy for force closing accounts due to a negative balance. bank of america failed to communicate with me to discuss these issues and has ignored my numerous calls and voicemails for someone to return my phone calls. bank of america failed to verify paperwork from merchant that did not verify my 3 claims. bank of america caused the negative balance by not properly investigating my 3 claims. bank of america falsely accused me of account abuse and retaliated against me for wanting verification for their investigations into my claims. my account statements showed these 3 transactions occurred on xxxx2020 when we were not at the hotel. the manager for the hotel never provided any receipts to validate these 3 charges to my account. no paperwork verifying the 3 charges and no paperwork verifying these transactions on xxxx2020. i ask bank of america to provide documentation that shows the 3 charges made on xxxx2020 and hotel xxxx for these 3 transactions on xxxx2020 verifying these charges. bank of america refused to provide any creditable verification for these 3 transactions or a breakdown for the negative balance. instead they chose to ignore my requests because they could not verify these charges but yet ruled in favor of the merchant for these charges. my account documentation all show these 3 unauthorized charges occurred on xxxx2020. the hotel indicated we received services on xxxx2020. and that is why these 3 charges occurred. however, the merchant failed to provide any documentation that verified the 3 transaction on xxxx2020. bank of america failed to verify the merchants documentation and gave a statement that we received services on xxxx2020. bank of america is and has refused to accept documentation from me that shows we were not at the hotel on xxxx2020 and documentation provided from the merchant that states we were not at the hotel on xxxx2020 which conflicts with bank of americas statement that we received services on xxxx2020. bank of america did not provide timely notifications by mail and blocked me from from viewing any documentation within my account on mobile and made all documentation only viewable by desktop knowing i did not own a desktop computer. i signed up and opened a mobile checking account but was not able to use my mobile device. so documentation was not available to me! bank of americas policy is that if a merchant provides unsatisfactory documentation towards your claim that does not verify a valid transaction by the merchant then the claim amount is returned to the consumer and in my case the 3 unauthorized claims were never verified and the paperwork did not verify the transaction so this was considered unsatisfactory documentation and the claim amounts should of been returned to me. bank of america was aware of this but didnt bother to verify the merchants documentation and ignored me when i brought this to their attention. bank of america refused all of my requests for documentation showing and verifying these unauthorized transactions and ignored my voicemails requesting documentation. bank of america refused and ignored my request for policy procedures on closing accounts and how long a negative account stays negative before it gets officially closed and have only used the statement of an extended period of time. account documentation was intentionally withheld from me and my account was forced closed while some of these claims were still active and being investigated so that i could not obtain account documentation to use against bank of america",Billing,High,consumer_complaints
need help with outlook password need help with password,General,Medium,it_service
they took my entire stimulus money,Billing,Low,consumer_complaints
i work for the xxxx xxxx xxxx xxxx. i deposited my work check pay date xxxx2018 for the amount of xxxx dollars into my checking account.the check was unable to process. i was told that the bank that written the payroll check had insufficient funds. after contacting fifth third several times i was unable to get assistance on why the check didnt clear. on top of rude customer service every account specialist that i spoke with gave me different dates on which i might be able to get my funds. being that the post office is a federal agency job i should have had faster results. instead of a date saying it will be processed after the holiday when thats a whole new pay period. they delayed bills from being paid. fifth third is by far the worst bank i ever dealt with. and i dont suggest them to no one. i will also contact news station to let potential customers know how they treat their customers. thank you,Billing,Medium,consumer_complaints
on xxxx19 i was charged 100.00 for insurance. chase charged a xxxx in sufficient fund fee. on xxxx19 i transferred 73.00 and was left with a negative balance of 69.00. and on xxxx19 i charged 32.00 for gas and made a deposit of 40.00 just two hours later to cover the fee for gas. i am now being charged an additional 34.00 by chase because of the negative balance of 69.00 from the original insurance payment of the 100.00 and they had already taken the overdraft fee from my electronic transfer of 73.00. they are refusing to reverse the fee even though i expressed my dissatisfaction of the insufficient funds fee being applied twice for the same transaction,Billing,Low,consumer_complaints
i use paypal for recive money from customer my website service xxxx xxxx xxxx xxxx xxxx since xxxx xxxxxxxx my paypal account permanently limited i try to read paypal acceptable use policy but i still have no clue what am i doing wrong i think my website are legit and this might be automated suspensions faulty. this not fair to me,Billing,Low,consumer_complaints
problem with logo problem with logo hello appears we have problem with our logo lights logo work properly make short flashes light bulb burn out can you please assist with problem thank you much kindest regards manager,Technical,Low,it_service
wants to access wants hi order take off user name thanks accept decline requests,General,Low,it_service
"on xxxx23 i received a new application alert from xxxx. the morning of xxxx23 i received an alert from xxxx xxxx xxxx that 12000.00 had been withdrawn from my savings account by xxxx citibank , n.a . which was not authorized by me. xxxx xxxx xxxx citibank , n.a . i called xxxx they gave me the number of citibank to contact them, i called xxxx spoke to the fraud department to xxxx. i explained i had not opened this account and that my credit file was locked on all three credit bureaus and didnt understand how this could happen. she gave me a case number xxxx and assured me the account would be locked and closed, and i would receive a report in my mail at home. unfortunately, i was on a 3 week trip to ny and wouldnt be home till the last week of xxxx. i then called my bank xxxx xxxx xxxx xxxx and put in a dispute over the transaction. on xxxxxxxx xxxx had returned the money to my account and locked it to prevent further activity until i could get back and open a new account to transfer funds to. i returned home on xxxx23 and opened a new account at xxxx xxxx xxxx at which time i transferred my existing funds to the new accounts. i have yet to update all direct deposit information to my existing accounts. i have tried serveral time to reach out to citibank and on each attempt they were unable to provide me any information but instead told me i need to go to a branch office to solve this issue. i explained the closest branch office is over xxxx miles to the other side of the state. i have since reached out to xxxx who recommended i file this complaint. i would appreciate any assistance as i have received checks, and atm card and other material from citibank. please advise if you need any further information,. ps- i did try to contact the local authorities who advised me that because my money had been returned they couldnt open a complaint.",Billing,Medium,consumer_complaints
"xxxxxxxx, i was the victim of fradulent charges in my bank of america accounts ending inxxxxxxxx xxxx. i sent in documents to boa, police report, etc but boa still refused to credit back my account, even after i did the proper procedure. i did these claims at least 3-4 times. when i notify boa that i want documentation in writing of why they refused to pay me back the funds that was taking fraudulent from myself told them i had a lawyer, and wanted the claims re opened again for fraudulent activity for the 4 or 5th time, they proceed to close both my accounts, for fradulent activity, 2 months later, retailiting against me because i told them i had a lawyer since they wasnt paying myself the money back. boa are taking peoples money including mine, they did not do a proper investigation on my claims are trying to hold me accountable refuse to give myself the money back. in my xxxx account it was a total of 1800.00 give or take and 950.00 in my account ending xxxx.",Billing,Low,consumer_complaints
access to git thursday pm authentication error hi unable git please advise software developer,Technical,High,it_service
professional account for pm vs hi please create professional developer thanks lead vs vs si la date sis pm professional note subscription professional has assigned apologies mistake thanks analyst pm re professional hello please informed edition assigned order activate subscription please received subscription activated id also find vs pro tools visual studio edition tools please kindly let further assistance needed best regards analyst,Technical,Low,it_service
can connect phone to account sent monday october can connect phone dear can connect phone phone works phone try create but after filling data shows we able apply policy required by when access go options phone can phone connected device but when enter details shows access access denied policy policy policy application status please help connect phone when you have best regards tester en,Technical,Low,it_service
password reset sent wednesday february issue when connecting or for hi want inform you colleague issue when she trying connect her or for she unable she was trying change her password last week but she was unable complete process her password expired she cannot connect possible reset her password send she cannot access her or should she provide personal address we she needs have access also her let know if can provide any other details order help colleague solving situation best regards analyst developer,Technical,High,it_service
change chub md owner to tuesday july pm re testers extended dear approve please let owner more part thanks lot senior tester tuesday july pm testers extended hello listed owner testing please approve kind regards analyst ext hub tuesday july pm testers extended dear please add member testers thanks lot kind regards,General,Low,it_service
modify setting testing from ad modify setting testing ad hello please advised after recent vulnerability performed tower got several virtual machines without patches which testing discipline infrastructure ad located training test testing reason did take updates location please update receive updates please log task thank best regards senior engineer,General,Low,it_service
maternity leaver access card pm re maternity leaver form friday pm maternity leaver form hello please help by filling out maternity leaver form thanks ext,General,Low,it_service
system hello movement has left available device please kind device denmark copenhagen denmark please source quotation shipping by lead,General,Low,it_service
open issue open issue hello seems for moment open some problems please logs get attached image looking forward your help engineer,Technical,Medium,it_service
i think wells fargo charged me,Billing,Low,consumer_complaints
"sent a domestic wire transfer for 10000.00 on xxxx2023 via online banking. as of today, xxxxxxxx. the wire has not reached the beneficiary wire instructions are correct and confirmed . wells fargo wf online department and wire department misinform and misguide me on each call to check status and confirm the funds were sent. the last call the representative made it seem like the funds can be held indefinitely and they dont have to inform me of legal or lawful deadlines to refund the money to my account. i request xxxx federal reserve number, which confirms the wire was sent without issues , they dont expect id know to ask for it. they place me on hold, while they ask team lead and confirm they dont have xxxx yet because the case and funds are sitting in wf compliance. they cant contact compliance or place a sense of urgency to resolve either because the department does not talk to them. every business day between xxxxxxxx to xxxx, they request i provide my full name, address and date of birth to release the funds. i provide the information and this does not resolve the release. each follow up call is the same generic process cycle but no resolution and they cant find the previous xxxx notes where they sent my information to compliance, each follow up call is like the first call. i requested they cancel the wire and refund to my account, they say they can recall but not sure if the beneficiary will return the funds which is contradictory because some csr admit the funds havent been released and are at wf while others say the funds have been released. the receiving bank confirmed notice of wire expecting the amount, but funds have not been released to them by wells fargo. regardless of how many times you call xxxx wire dept or xxxx online claims no one knows what to tell you or how to resolve you issue, hands are tied and washed like xxxx xxxx. if you go to the branch, since you initiated the wire online, they are clueless and cant resolve and refer you back to online. the lack of providing customer information, a resolution date, accountability, lack of care to resolve the customer issue is demonstrated, no matter how urgent the matter is for the client, they dont care and tell you they cant do anything and have to wait for compliance which is indefinite . this issue makes you lose total confidence and trust at wf ability to manage online wire transfers. it is better served to go to the branch. online department provides no solutions or information besides reading off of a script and tell you to file a complaint with the office of the wf president.",Billing,High,consumer_complaints
"i completed these activities through xxxx xxxx xxxx xxxx xxxx enrolled in and funded a xxxx xxxx checking account through xxxx xxxx xxxx. i connected a xxxx checking account with the plaid service. xxxx2024 -- enrolled in and funded a xxxx brokerage account through xxxx. i connected a xxxx checking account with the plaid service. i sent funding from, and login information for, my xxxx checking account when using plaid on both occasions. the plaid service asked for my username and password to fund account when enrolling with novo. when enrolling with xxxx, the plaid service asked for my login information and a one time passcode sent to either my phone or email associated with my xxxx account, mirroring the log in steps when logging into xxxx directly. the first occasion did not require a one time passcode to be entered to connect the accounts. the second occasion required a one time passcode to be entered to connect accounts.",Billing,Low,consumer_complaints
windows upgrade failed upgrade failed dear got message help br manager frankfurt main frankfurt main,General,Medium,it_service
new purchase po purchase po dear purchased license perpetual license perpetual please log allocation kind regards administrator,General,Low,it_service
wants to access wednesday pm wants accept decline,General,Low,it_service
pm change for and oracle pas hello please appoint pm codes thanks,General,Low,it_service
"on xxxxxxxx i was xxxx in the arizona department of xxxx i was not xxxx into xxxxxxxx, 4 years later. when i return home i want to my wells fargo bank to make sure all my money was still intact and deposit in the bank. i found out that my account had been depleted by fraud using a pin number atm access. i filed a complaint to have a resolution specialist look at my account and see if i can get the money refunded to me due to identity theft and fraud. i was denied the first time due to not having proof of xxxx. i filed a second time to reopen the case and was granited 800.00 out of 3700.00. wells fargo is telling me that they withheld 2700.00 of my money due to regulations e. ive seen several documents and several videos and it clearly states that the banking laws say you can not use regulation e even if its after the 180 days of expectation due to special circumstances! when i found out my accounts were depleted four years later i had no way of knowing about it. so could you please help me get my 2700.00 returned to my account?",Billing,Low,consumer_complaints
"i have applied for the tpslf since i first learned about it in xxxx. at that point i completed all employment verification forms and submitted my application. i continued to send in employment verification forms once xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxxxxxx it took months for everything to be approved and processed by xxxx . i was grateful to have received a letter on xxxxxxxx notifying me of loan forgiveness and received a refund which totaled 9 payments with a pay off date of xxxx i realized that there were at least 9-10 payments that were not accounted for. i have made many attempts via live-chat, email, website, phone to request a reconsideration for the payment counts through both xxxx and fsa. i only received responses of congratulations, your loans have been forgiven and not one indicated that my request would be granted. case numbers have been sent to me via email however, only two of them show up in my portal and both are closed without an explanation. i have even submitted complaints on their websites and requested my complaint be escalated to speak with an ombudsman. i never received confirmation or communication. i finally was able to speak with a live person on a call back request was made on xxxxxxxx and was given a case number. he kindly told me that there was a note on my account of payment under review but that was it. he also told me that an ombudsman representative would call me between xxxx xxxx xxxx and if i didnt answer the call, that i would miss my chance to speak with an ombudsman because they dont leave messages or call back numbers. i waited and made sure that i was available to receive a call however, i never received a call or any other further communication. through other resources, i learned that once an ombudsman case is open, then i could call a number or email xxxx and if an ombudsman doesnt provide assistance to email xxxx xxxx xxxx i didnt reach out to them because i never receive a call and therefore was never given an open case and i cant say that an ombudsman didnt provide assistance because i can not seem to get in touch with one, nor has fsa ever responded to my multiple requests within the past year.",General,Low,consumer_complaints
xxxx2022 120.00 chime refuses to do anything. ive put xxxx appeals in. there is thousands of people with the same issues.,Billing,Low,consumer_complaints
job change wednesday november pm change job title hi effective immediately please change mozzarella job title senior architect adjustment promotion change salary grade thank,General,High,it_service
acceptance into support cr for new live into support friday july pm re acceptance cr hello please update polls details bellow thank engineer friday pm re acceptance cr hello polls removed ground floor mezzanine installed area too accommodate has different has different update addresses too addresses which also installed rack monitoring st floor which documentation please add similar poll suggest name other details please let thank engineer,Technical,Low,it_service
send as permissions for the mailbox additional permissions mailbox dear responsible mailbox communication students universities part collaboration context appreciate updates mailbox restricted thanks,General,Low,it_service
"on tuesday, xxxxxxxx, i deposited a check in my business account at bank of america in xxxx xxxx, nc. i went inside the brick and mortar building. i tried to cash a check but i was told it would have to be deposited and i could get cash on wednesday, xxxxxxxx. i asked the teller would there be a hold and she stated no there will not be a hold. this was at xxxx xxxx. at xxxx xxxx. i received an email stating that there would be a 10 day hold on the check. i would not have deposited the check if i had known there would be hold. i went to the back and they said it is nothing they can do because my account is so new. they cased the same check in xxxx. i called bank of america and was told it is nothing they can do and that they can put holds as they see fit. this has caused my mortgage, car payment, and over xxxx of payments to bounce because i am not able to access money that i have earned. i dont know how i am going to recover from this but it is not fair. i could see if the business that wrote me the check was new but it is a school. i am education consultant. bank of america could have released this hold but refused.",Billing,Low,consumer_complaints
"on xxxxxxxx i made a payment of 1100.00 to an account xxxx xxxx via zelle through my xxxx xxxx xxxx checking account . the account holders email is xxxx. xxxx confirmation number xxxx. on xxxx i was apprised by the recipient of the funds that it was a scam therefore the transaction is totally bogus. this is what i received in the text from the scammer the zelle account owner is xxxx xxxx and his roommate. i scammed both of you. my friend needed a surgery and i had to raise that money for him. i never planned to do that, but i am really sorry. i couldnt stand to see my best friend die in pain. the whole check stuff is a scam. i promise to return your money back to you and xxxx when my friend is back to life. we will work and return money back to both parties. i am really sorry once more. i want the bank xxxx to work with zelle to get the funds back from the scammers. i opened a case with xxxx case xxxx but have not heard back anything yet. i can be reached via email or phone xxxx for any additional details. please assist in this regard xxxx",Billing,Low,consumer_complaints
